class_list,accuracy,data_unit,PH2,PH3,reducer,kernel,n,loadable,lr,optimizer,loss_fn,num_epochs
two-classes,0.515625,Spf,True,True,pca,None,1,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.552734375,Spf,True,True,umap,None,1,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.65234375,Spf,True,True,pca,None,3,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.6328125,Spf,True,True,umap,None,3,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.65625,Spf,True,True,pca,None,5,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.552734375,Spf,True,True,umap,None,5,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.75,Spf,True,True,pca,None,7,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.5859375,Spf,True,True,umap,None,7,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.759765625,Spf,True,True,pca,None,9,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.751953125,Spf,True,True,umap,None,9,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.724609375,Spf,True,True,pca,None,11,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.58203125,Spf,True,True,umap,None,11,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.69921875,Spf,True,True,pca,None,13,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.712890625,Spf,True,True,umap,None,13,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.740234375,Spf,True,True,pca,None,15,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.505859375,Spf,True,True,umap,None,15,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
two-classes,0.572265625,Spf,True,False,None,None,75,distilbert-base-uncased,1e-05,"AdamW (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    capturable: False
    decoupled_weight_decay: True
    differentiable: False
    eps: 1e-08
    foreach: None
    fused: None
    lr: 1e-05
    maximize: False
    weight_decay: 0
)",CrossEntropyLoss(),2
